Name,Sector,rating_num,currentRatio,cashRatio,netProfitMargin,operatingProfitMargin,debtRatio,debtEquityRatio,returnOnEquity,operatingCashFlowSalesRatio,rating_note
Century Aluminum Company,Basic Industries,5.0,2.28168567,0.6321020695,0.002116880500000001,0.01564723325,0.43753513,0.7792359584999999,0.0038839534999999996,0.03236223925,B
"Charles River Laboratories International, Inc.",Health Care,7.0,1.921472479,0.459316497,0.072907239,0.1441742665,0.6445169915,1.813100282,0.1368709015,0.2028602845,BBB
Chemed Corp.,Health Care,8.0,0.8305866323333334,0.13279328833333334,0.06476341133333334,0.10984927233333334,0.456887979,0.852255112,0.20231147033333333,0.09785909133333333,A
Chesapeake Energy Corporation,Energy,6.0,0.691901647,0.20516745314285714,-0.18571785799999999,-0.19220194699999998,0.7155999700000001,0.6918669592857142,-0.5034132602857143,0.2627928797142857,BB
Chevron Corporation,Energy,9.0,1.4522594975,0.48024717675,0.08143191175,0.13264681725,0.41743279499999997,0.71668348525,0.12239315149999999,0.1505942595,AA
"Choice Hotels International, Inc.",Consumer Services,7.0,1.6706196016666668,0.9887571780000001,0.15609814866666666,0.27197869666666663,1.6761757933333332,-2.5164119449999998,-0.28723075366666667,0.21364341500000003,BBB
"Churchill Downs, Incorporated",Consumer Services,5.0,0.55095816,0.1630626775,0.0817487865,0.108788823,0.6039013635,1.8043270004999998,0.11347771849999999,0.202075482,B
Ciena Corporation,Public Utilities,5.0,2.5320844365,0.874573119,-0.0181259545,0.020109733499999997,0.9077423735,-9.7321262805,0.5260507719999999,0.0643137475,B
Cimarex Energy Co,Energy,6.75,1.3146449465,0.60848872475,-0.21626038125000002,-0.32858356325,0.45484334225,0.8375350265,-0.10967236825000001,0.6354979777499999,BBB
Cincinnati Bell Inc,Public Utilities,5.166666666666667,0.8872834271666666,0.08379493966666667,0.07082050366666666,0.12827599933333333,1.2446722426666668,-6.228228957333333,-0.3504760253333333,0.13055584866666667,B
Cintas Corporation,Consumer Non-Durables,8.0,2.860495925,0.7064729456666666,0.08384260399999999,0.1370223123333333,0.513687777,1.0594805326666668,0.1789584936666667,0.1304126303333333,A
"Clean Harbors, Inc.",Basic Industries,6.0,1.909830736,0.40389279,0.059268488,0.092418877,0.625680968,1.671517913,0.090549916,0.148253491,BB
Clearwater Paper Corporation,Basic Industries,6.0,2.5172752485,0.097072235,0.0165195325,0.0590703235,0.677572743,2.1037383925000004,0.05695595,0.08836039100000001,BB
Cleveland-Cliffs Inc.,Basic Industries,5.2,1.5405512417999998,0.42224763379999997,-0.353379809,-0.31207676279999996,1.2804457178,-0.83165911,1.0784615124,0.13291919940000002,B
Clorox Company (The),Consumer Durables,7.0,0.802316703,0.15964617650000001,0.1027099395,0.1027099395,1.0258285155,-41.333118,-5.2420757965,0.12267960550000001,BBB
Coca-Cola European Partners plc,Consumer Non-Durables,8.0,0.938683948,0.0777667,0.081055459,0.119924159,0.875500286,7.032146958,0.588978186,0.145678622,A
"Cogent Communications Holdings, Inc.",Consumer Services,5.0,4.267239571285715,3.5741242194285716,0.030771932,0.11770497757142857,0.8261404734285714,-7.422788863999999,-0.052650475428571424,0.23543994842857144,B
Colfax Corporation,Capital Goods,6.0,1.6381544559999999,0.2503341496,0.0422449316,0.0719064286,0.5924330402,1.5047380452,0.0593803816,0.07924554660000001,BB
Colgate-Palmolive Company,Consumer Non-Durables,9.0,1.184065548,0.25048506975,0.12160355575,0.2033723475,0.8967904255,-5.215323897499999,-0.18225479774999992,0.18294966075000002,AA
